ID,true_easting,true_northing,easting_off_grid3_se_corner,northing_off_grid3_se_corner
301,656003.5436,4156511.434,-83794.88241,58273.13105
304,678718.5591,4155223.178,-61079.86692,56984.87513
305,672525.1453,4154578.683,-67273.28073,56340.38003
307,654465.3413,4165250.126,-85333.0847,67011.82261
308,703821.5908,4126948.498,-35976.83518,28710.19527
309,731722.7259,4109336.818,-8075.700064,11098.5153
310,681625.6315,4146312.785,-58172.79455,48074.48179
311,708235.3402,4131617.512,-31563.08576,33379.20853
315,724739.8429,4124820.5,-15058.58312,26582.19674
316,720676.0061,4124771.202,-19122.41989,26532.8987
317,737478.0789,4112689.474,-2320.347071,14451.17104
318,721446.5362,4124243.208,-18351.8898,26004.90488
319,723853.3067,4120418.17,-15945.11925,22179.86667
320,695731.1515,4099222.269,-44067.27446,983.9662121
321,694720.5142,4145847.147,-45077.91178,47608.84393
323,737727.0513,4112848.794,-2071.374718,14610.49148
324,723686.6621,4121866.748,-16111.76388,23628.44514
329,676969.834,4163030.681,-62828.59197,64792.37766
330,724138.5074,4123634.101,-15659.91856,25395.79818
334,701531.0012,4100984.715,-38267.42476,2746.411938
336,680983.9196,4158863.437,-58814.50643,60625.1337
337,664604.6707,4115075.136,-75193.7553,16836.83272
338,673984.3567,4160688.373,-65814.06932,62450.07026
339,706312.2082,4135233.918,-33486.21781,36995.61467
344,683018.0899,4156592.592,-56780.33607,58354.28938
345,728989.3491,4112060.644,-10809.07688,13822.34128
348,669455.3986,4138041.45,-70343.02737,39803.14698
350,682689.3874,4170835.155,-57109.03864,72596.85239
351,685785.2884,4152843.499,-54013.13757,54605.19642
353,726971.0733,4115548.857,-12827.35271,17310.55377
354,727061.5151,4126762.114,-12736.91093,28523.81059
355,667454.7273,4154943.095,-72343.69868,56704.79189
356,727037.6302,4115714.806,-12760.79583,17476.50337
357,706642.0968,4128907.044,-33156.32916,30668.74103
359,655022.8739,4170147.461,-84775.55212,71909.1576
361,666998.7996,4113199.036,-72799.62635,14960.73317
363,674592.8306,4154533.106,-65205.59535,56294.80285
366,733878.6315,4105279.499,-5919.794546,7041.195801
374,677134.1867,4155011.099,-62664.23931,56772.79572
375,695578.9756,4142843.736,-44219.45039,44605.43329
377,702692.7601,4102402.943,-37105.66586,4164.640369
379,721847.885,4133934.601,-17950.54096,35696.29838
380,724228.1561,4125163.36,-15570.26985,26925.05653
383,651942.7608,4171806.516,-87855.66524,73568.21252
384,714064.1055,4144244.744,-25734.3205,46006.44117
386,723674.4248,4123949.63,-16124.00117,25711.32658
387,673412.0038,4165312.61,-66386.42224,67074.30703
388,673893.4607,4155231.17,-65904.9653,56992.86748
389,680900.4625,4150009.229,-58897.96345,51770.9258
391,687464.7464,4097676.603,-52333.67964,-561.6996119
392,651551.278,4172141.638,-88247.14803,73903.33486
393,688611.8642,4098357.122,-51186.56179,118.8192843
394,722586.275,4125366.497,-17212.15098,27128.19408
395,683023.1452,4156509.739,-56775.28075,58271.43611
397,705865.5672,4142423.507,-33932.8588,44185.20431
400,686046.1415,4155256.114,-53752.28446,57017.81132
401,667120.2505,4157551.632,-72678.17554,59313.329
403,728317.0182,4124540.879,-11481.40776,26302.57556
405,684136.2138,4158116.597,-55662.21218,59878.29376
406,676507.365,4144896.026,-63291.06101,46657.72337
407,672689.0506,4147419.509,-67109.37543,49181.2058
408,724735.2251,4131808.278,-15063.20088,33569.97474
409,711910.3114,4123110.868,-27888.1146,24872.5651
411,677268.9265,4155907.699,-62529.49949,57669.39641
412,670103.5019,4163262.088,-69694.92407,65023.78527
416,700687.8169,4140843.543,-39110.60908,42605.24037
418,723883.0309,4126562.63,-15915.39506,28324.32725
419,738541.291,4118265.296,-1257.135021,20026.99329
420,665134.6216,4151303.995,-74663.80436,53065.69197
422,653828.4373,4133075.025,-85969.98869,34836.72228
423,668192.6454,4148424.564,-71605.78065,50186.26081
424,678457.5377,4148689.132,-61340.88833,50450.82945
425,651759.0687,4140773.597,-88039.35733,42535.29377
427,685827.3225,4147263.773,-53971.10352,49025.46979
431,684527.3294,4141688.779,-55271.09661,43450.47587
